,outcome,redTeam1,redTeam1R,redTeam2,redTeam2R,redTeam3,redTeam3R,redTeam4,redTeam4R,redTeam5,redTeam5R,blueTeam1,blueTeam1R,blueTeam2,blueTeam2R,blueTeam3,blueTeam3R,blueTeam4,blueTeam4R,blueTeam5,blueTeam5R
0,0,84,TOP,234,JUNGLE,103,MIDDLE,145,BOTTOM,111,UTILITY,42,MIDDLE,63,JUNGLE,68,TOP,12,UTILITY,21,BOTTOM
0,1,24,TOP,64,JUNGLE,4,MIDDLE,81,BOTTOM,22,UTILITY,106,TOP,63,JUNGLE,18,MIDDLE,145,BOTTOM,89,UTILITY
0,1,164,TOP,121,JUNGLE,69,MIDDLE,81,BOTTOM,89,UTILITY,516,TOP,30,JUNGLE,18,MIDDLE,221,BOTTOM,12,UTILITY
0,1,41,MIDDLE,131,JUNGLE,84,TOP,51,BOTTOM,35,UTILITY,85,TOP,421,JUNGLE,114,MIDDLE,221,BOTTOM,53,UTILITY
0,0,126,TOP,63,JUNGLE,81,MIDDLE,236,BOTTOM,111,UTILITY,85,TOP,203,JUNGLE,18,MIDDLE,110,BOTTOM,201,UTILITY
0,0,54,TOP,203,JUNGLE,63,MIDDLE,81,BOTTOM,201,UTILITY,236,TOP,427,JUNGLE,18,MIDDLE,145,BOTTOM,89,UTILITY
0,0,154,TOP,120,JUNGLE,39,MIDDLE,145,BOTTOM,143,UTILITY,92,TOP,77,JUNGLE,268,MIDDLE,498,BOTTOM,40,UTILITY
0,0,18,TOP,254,JUNGLE,84,MIDDLE,21,BOTTOM,32,UTILITY,150,TOP,876,JUNGLE,221,MIDDLE,81,BOTTOM,201,UTILITY
0,0,122,TOP,876,JUNGLE,119,MIDDLE,21,BOTTOM,99,UTILITY,221,BOTTOM,245,JUNGLE,133,MIDDLE,85,TOP,44,UTILITY
0,1,36,TOP,91,JUNGLE,61,MIDDLE,498,BOTTOM,111,UTILITY,234,JUNGLE,24,TOP,7,MIDDLE,81,BOTTOM,497,UTILITY
0,0,77,TOP,62,JUNGLE,517,MIDDLE,498,BOTTOM,497,UTILITY,69,MIDDLE,64,JUNGLE,84,TOP,222,BOTTOM,57,UTILITY
0,1,36,TOP,254,JUNGLE,7,MIDDLE,202,BOTTOM,432,UTILITY,76,TOP,32,JUNGLE,42,MIDDLE,221,BOTTOM,111,UTILITY
0,0,126,TOP,30,JUNGLE,42,MIDDLE,163,BOTTOM,164,UTILITY,54,TOP,76,JUNGLE,236,MIDDLE,110,BOTTOM,888,UTILITY
0,0,33,TOP,64,JUNGLE,134,MIDDLE,221,BOTTOM,497,UTILITY,126,TOP,113,JUNGLE,55,MIDDLE,222,BOTTOM,111,UTILITY
0,1,62,TOP,25,JUNGLE,21,BOTTOM,18,MIDDLE,164,UTILITY,58,TOP,104,JUNGLE,42,MIDDLE,895,BOTTOM,497,UTILITY
0,0,67,TOP,120,JUNGLE,115,MIDDLE,498,BOTTOM,497,UTILITY,150,TOP,234,JUNGLE,163,MIDDLE,222,BOTTOM,78,UTILITY
0,0,92,TOP,102,JUNGLE,166,MIDDLE,115,BOTTOM,497,UTILITY,58,TOP,30,JUNGLE,236,MIDDLE,221,BOTTOM,432,UTILITY
0,1,92,TOP,5,JUNGLE,267,UTILITY,221,BOTTOM,134,MIDDLE,68,TOP,76,JUNGLE,157,MIDDLE,202,BOTTOM,111,UTILITY
0,0,67,TOP,83,JUNGLE,42,MIDDLE,202,BOTTOM,89,UTILITY,92,TOP,72,JUNGLE,7,MIDDLE,81,BOTTOM,96,UTILITY
0,1,92,TOP,35,JUNGLE,61,MIDDLE,21,BOTTOM,26,UTILITY,897,TOP,91,JUNGLE,134,MIDDLE,236,BOTTOM,902,UTILITY
0,0,67,TOP,245,JUNGLE,42,MIDDLE,145,BOTTOM,526,UTILITY,164,TOP,63,JUNGLE,81,MIDDLE,221,BOTTOM,78,UTILITY
0,0,102,JUNGLE,92,TOP,18,MIDDLE,145,BOTTOM,40,UTILITY,6,TOP,30,JUNGLE,80,MIDDLE,910,BOTTOM,78,UTILITY
0,0,86,TOP,76,JUNGLE,950,MIDDLE,221,BOTTOM,497,UTILITY,92,TOP,421,JUNGLE,4,MIDDLE,901,BOTTOM,16,UTILITY
0,0,67,TOP,30,JUNGLE,950,MIDDLE,21,BOTTOM,113,UTILITY,266,TOP,203,JUNGLE,134,MIDDLE,145,BOTTOM,89,UTILITY
0,1,67,TOP,421,JUNGLE,154,MIDDLE,81,BOTTOM,432,UTILITY,68,TOP,254,JUNGLE,7,MIDDLE,498,BOTTOM,888,UTILITY
0,1,145,MIDDLE,421,JUNGLE,23,TOP,22,BOTTOM,147,UTILITY,24,TOP,106,JUNGLE,69,MIDDLE,202,BOTTOM,164,UTILITY
0,0,67,TOP,77,JUNGLE,81,MIDDLE,202,BOTTOM,101,UTILITY,92,TOP,63,JUNGLE,234,MIDDLE,22,BOTTOM,888,UTILITY
0,0,67,TOP,9,JUNGLE,202,MIDDLE,22,BOTTOM,89,UTILITY,164,TOP,200,JUNGLE,517,MIDDLE,221,BOTTOM,497,UTILITY
0,0,54,TOP,30,JUNGLE,777,MIDDLE,119,BOTTOM,555,UTILITY,67,TOP,234,JUNGLE,142,MIDDLE,81,BOTTOM,40,UTILITY
0,0,92,TOP,63,JUNGLE,777,MIDDLE,910,BOTTOM,201,UTILITY,266,TOP,64,JUNGLE,84,MIDDLE,145,BOTTOM,555,UTILITY
0,1,67,TOP,203,JUNGLE,101,MIDDLE,21,BOTTOM,89,UTILITY,68,TOP,64,JUNGLE,115,MIDDLE,81,BOTTOM,12,UTILITY
0,1,236,TOP,76,JUNGLE,115,MIDDLE,202,BOTTOM,37,UTILITY,67,TOP,77,JUNGLE,3,MIDDLE,81,BOTTOM,555,UTILITY
0,0,67,TOP,120,JUNGLE,55,MIDDLE,145,BOTTOM,12,UTILITY,150,TOP,113,JUNGLE,157,MIDDLE,115,BOTTOM,78,UTILITY
0,0,82,TOP,121,JUNGLE,81,MIDDLE,21,BOTTOM,147,UTILITY,67,TOP,20,JUNGLE,4,MIDDLE,22,BOTTOM,53,UTILITY
0,0,41,TOP,876,JUNGLE,110,BOTTOM,81,MIDDLE,111,UTILITY,92,TOP,77,JUNGLE,268,MIDDLE,202,BOTTOM,147,UTILITY
0,0,164,UTILITY,203,JUNGLE,163,MIDDLE,81,BOTTOM,62,TOP,126,TOP,76,JUNGLE,42,MIDDLE,30,BOTTOM,89,UTILITY
0,0,92,TOP,163,JUNGLE,950,MIDDLE,115,BOTTOM,89,UTILITY,24,TOP,63,JUNGLE,42,MIDDLE,119,BOTTOM,111,UTILITY
0,1,67,TOP,20,JUNGLE,236,MIDDLE,63,BOTTOM,111,UTILITY,77,TOP,145,BOTTOM,42,MIDDLE,30,JUNGLE,89,UTILITY
0,1,126,TOP,63,JUNGLE,202,MIDDLE,222,BOTTOM,111,UTILITY,64,JUNGLE,67,TOP,4,MIDDLE,81,BOTTOM,201,UTILITY
0,0,36,TOP,5,JUNGLE,7,MIDDLE,222,BOTTOM,902,UTILITY,897,TOP,76,JUNGLE,221,MIDDLE,81,BOTTOM,432,UTILITY
0,1,54,TOP,131,JUNGLE,221,MIDDLE,202,BOTTOM,22,UTILITY,33,TOP,76,JUNGLE,236,MIDDLE,81,BOTTOM,44,UTILITY
