,outcome,redTeam,blueTeam,Role
0,0,36,897,TOP
0,0,5,76,JUNGLE
0,0,7,221,MIDDLE
0,0,222,81,BOTTOM
0,0,902,432,UTILITY
0,1,54,33,TOP
0,1,131,76,JUNGLE
0,1,221,236,MIDDLE
0,1,202,81,BOTTOM
0,1,22,44,UTILITY
0,1,111,82,UTILITY
0,1,30,143,JUNGLE
0,1,42,86,MIDDLE
0,1,221,222,BOTTOM
0,1,67,201,TOP
0,0,41,79,TOP
0,0,131,102,JUNGLE
0,0,18,42,MIDDLE
0,0,202,81,BOTTOM
0,0,432,201,UTILITY
0,0,68,75,TOP
0,0,77,104,JUNGLE
0,0,777,136,MIDDLE
0,0,222,99,BOTTOM
0,0,432,89,UTILITY
0,1,122,897,TOP
0,1,421,2,JUNGLE
0,1,711,142,MIDDLE
0,1,22,145,BOTTOM
0,1,201,111,UTILITY
0,1,36,69,TOP
0,1,63,121,JUNGLE
0,1,42,163,MIDDLE
0,1,145,81,BOTTOM
0,1,526,12,UTILITY
0,1,24,30,TOP
0,1,876,266,JUNGLE
0,1,134,18,MIDDLE
0,1,222,523,BOTTOM
0,1,111,89,UTILITY
0,1,4,98,TOP
0,1,76,30,JUNGLE
0,1,21,18,MIDDLE
0,1,101,51,BOTTOM
0,1,12,89,UTILITY
0,0,86,17,MIDDLE
0,0,63,254,JUNGLE
0,0,68,42,TOP
0,0,221,498,BOTTOM
0,0,201,111,UTILITY
0,1,517,150,TOP
0,1,254,113,JUNGLE
0,1,7,134,MIDDLE
0,1,202,81,BOTTOM
0,1,89,201,UTILITY
0,0,8,164,TOP
0,0,107,76,JUNGLE
0,0,115,81,MIDDLE
0,0,96,99,BOTTOM
0,0,902,111,UTILITY
0,1,17,240,TOP
0,1,120,200,JUNGLE
0,1,81,103,MIDDLE
0,1,202,99,BOTTOM
0,1,432,555,UTILITY
0,1,24,240,TOP
0,1,30,120,JUNGLE
0,1,777,42,MIDDLE
0,1,81,901,BOTTOM
0,1,89,910,UTILITY
0,1,68,13,TOP
0,1,77,876,JUNGLE
0,1,238,497,MIDDLE
0,1,202,29,BOTTOM
0,1,432,39,UTILITY
0,1,106,163,TOP
0,1,121,76,JUNGLE
0,1,61,58,MIDDLE
0,1,222,360,BOTTOM
0,1,12,89,UTILITY
0,0,516,68,TOP
0,0,5,141,JUNGLE
0,0,42,69,MIDDLE
0,0,115,202,BOTTOM
0,0,432,26,UTILITY
0,0,84,68,TOP
0,0,121,5,JUNGLE
0,0,33,222,MIDDLE
0,0,81,42,BOTTOM
0,0,432,37,UTILITY
0,1,78,897,TOP
0,1,63,245,JUNGLE
0,1,18,202,MIDDLE
0,1,147,145,BOTTOM
0,1,111,497,UTILITY
0,1,122,266,TOP
0,1,63,77,JUNGLE
0,1,166,518,MIDDLE
0,1,498,236,BOTTOM
0,1,111,267,UTILITY
0,0,79,107,TOP
0,0,234,9,JUNGLE
0,0,236,42,MIDDLE
0,0,901,145,BOTTOM
0,0,432,117,UTILITY
0,0,24,10,TOP
0,0,163,143,JUNGLE
0,0,950,42,MIDDLE
0,0,145,89,BOTTOM
0,0,526,81,UTILITY
0,0,897,68,TOP
0,0,63,113,JUNGLE
0,0,236,777,MIDDLE
0,0,145,202,BOTTOM
0,0,89,201,UTILITY
0,1,68,24,TOP
0,1,113,76,JUNGLE
0,1,777,268,MIDDLE
0,1,429,81,BOTTOM
0,1,26,72,UTILITY
0,1,84,75,TOP
0,1,91,113,JUNGLE
0,1,18,42,MIDDLE
0,1,147,99,BOTTOM
0,1,37,111,UTILITY
0,1,58,2,TOP
0,1,18,63,MIDDLE
0,1,163,42,JUNGLE
0,1,145,22,BOTTOM
0,1,78,910,UTILITY
0,1,24,142,TOP
0,1,83,91,JUNGLE
0,1,131,711,MIDDLE
0,1,221,81,BOTTOM
0,1,117,43,UTILITY
0,1,13,80,TOP
0,1,120,121,JUNGLE
0,1,517,10,MIDDLE
0,1,22,222,BOTTOM
0,1,201,111,UTILITY
0,0,17,68,TOP
0,0,121,221,JUNGLE
0,0,517,427,MIDDLE
0,0,523,222,BOTTOM
0,0,267,526,UTILITY
0,1,58,150,TOP
0,1,234,421,JUNGLE
0,1,8,142,MIDDLE
0,1,99,81,BOTTOM
0,1,111,432,UTILITY
0,1,36,6,TOP
0,1,20,143,JUNGLE
0,1,517,238,MIDDLE
0,1,145,222,BOTTOM
0,1,78,111,UTILITY
0,0,10,6,TOP
0,0,64,35,JUNGLE
0,0,518,7,MIDDLE
0,0,236,81,BOTTOM
0,0,201,89,UTILITY
0,0,266,62,TOP
0,0,20,120,JUNGLE
0,0,163,7,MIDDLE
0,0,222,145,BOTTOM
0,0,111,89,UTILITY
0,1,78,111,TOP
0,1,76,64,JUNGLE
0,1,42,81,MIDDLE
0,1,236,29,BOTTOM
0,1,147,26,UTILITY
0,0,117,78,TOP
0,0,113,76,JUNGLE
0,0,81,236,MIDDLE
0,0,21,119,BOTTOM
0,0,44,111,UTILITY
0,1,150,887,TOP
0,1,56,234,JUNGLE
0,1,7,78,MIDDLE
0,1,119,202,BOTTOM
0,1,267,111,UTILITY
0,0,150,79,TOP
0,0,876,141,JUNGLE
0,0,126,91,MIDDLE
0,0,22,69,BOTTOM
0,0,350,432,UTILITY
0,1,887,897,TOP
0,1,203,30,JUNGLE
0,1,163,126,MIDDLE
0,1,81,145,BOTTOM
0,1,201,89,UTILITY
0,1,58,164,TOP
0,1,77,427,JUNGLE
0,1,84,950,MIDDLE
0,1,221,222,BOTTOM
0,1,37,412,UTILITY
0,0,24,147,TOP
0,0,203,20,JUNGLE
0,0,517,89,MIDDLE
0,0,29,80,BOTTOM
0,0,68,42,UTILITY
0,1,54,62,TOP
0,1,77,203,JUNGLE
0,1,777,61,MIDDLE
0,1,145,81,BOTTOM
0,1,555,147,UTILITY
0,1,67,41,TOP
0,1,60,63,JUNGLE
0,1,42,221,MIDDLE
0,1,81,145,BOTTOM
0,1,22,526,UTILITY
0,1,36,80,TOP
0,1,120,104,JUNGLE
0,1,18,8,MIDDLE
0,1,910,111,BOTTOM
0,1,497,145,UTILITY
0,1,77,85,TOP
0,1,59,121,JUNGLE
0,1,517,39,MIDDLE
0,1,21,63,BOTTOM
0,1,147,497,UTILITY
0,1,85,110,TOP
0,1,11,64,JUNGLE
0,1,34,112,MIDDLE
0,1,81,145,BOTTOM
0,1,16,111,UTILITY
0,0,86,82,MIDDLE
0,0,77,68,JUNGLE
0,0,85,81,TOP
0,0,202,42,BOTTOM
0,0,89,432,UTILITY
0,1,897,78,TOP
0,1,876,77,JUNGLE
0,1,58,157,MIDDLE
0,1,901,22,BOTTOM
0,1,26,201,UTILITY
0,0,126,41,TOP
0,0,143,120,JUNGLE
0,0,6,131,MIDDLE
0,0,21,145,BOTTOM
0,0,12,89,UTILITY
0,0,27,86,TOP
0,0,77,876,JUNGLE
0,0,901,126,MIDDLE
0,0,498,63,BOTTOM
0,0,497,72,UTILITY
0,1,86,150,TOP
0,1,56,63,JUNGLE
0,1,61,42,MIDDLE
0,1,81,498,BOTTOM
0,1,89,497,UTILITY
0,1,126,266,TOP
0,1,77,30,JUNGLE
0,1,36,39,MIDDLE
0,1,63,236,BOTTOM
0,1,518,89,UTILITY
0,0,19,164,TOP
0,0,64,104,JUNGLE
0,0,7,3,MIDDLE
0,0,96,81,BOTTOM
0,0,117,432,UTILITY
0,1,16,62,TOP
0,1,2,876,JUNGLE
0,1,236,163,MIDDLE
0,1,63,22,BOTTOM
0,1,12,89,UTILITY
0,1,164,67,TOP
0,1,77,59,JUNGLE
0,1,3,55,MIDDLE
0,1,202,22,BOTTOM
0,1,78,111,UTILITY
0,0,54,114,TOP
0,0,64,113,JUNGLE
0,0,42,777,MIDDLE
0,0,222,202,BOTTOM
0,0,16,3,UTILITY
0,0,41,24,TOP
0,0,77,234,JUNGLE
0,0,134,7,MIDDLE
0,0,202,81,BOTTOM
0,0,89,43,UTILITY
0,0,24,236,TOP
0,0,60,76,JUNGLE
0,0,18,147,MIDDLE
0,0,22,145,BOTTOM
0,0,497,89,UTILITY
0,1,122,58,TOP
0,1,113,234,JUNGLE
0,1,910,268,MIDDLE
0,1,222,145,BOTTOM
0,1,147,111,UTILITY
0,1,266,81,TOP
0,1,78,121,JUNGLE
0,1,42,68,MIDDLE
0,1,63,145,BOTTOM
0,1,147,111,UTILITY
0,0,68,17,TOP
0,0,234,5,JUNGLE
0,0,236,81,MIDDLE
0,0,89,143,UTILITY
0,0,22,12,BOTTOM
0,1,55,84,MIDDLE
0,1,35,5,JUNGLE
0,1,78,236,TOP
0,1,202,81,BOTTOM
0,1,43,267,UTILITY
0,1,10,266,TOP
0,1,104,203,JUNGLE
0,1,55,161,MIDDLE
0,1,63,119,BOTTOM
0,1,89,12,UTILITY
0,1,86,36,TOP
0,1,245,120,JUNGLE
0,1,777,517,MIDDLE
0,1,22,81,BOTTOM
0,1,89,518,UTILITY
0,0,78,266,TOP
0,0,107,104,JUNGLE
0,0,7,526,MIDDLE
0,0,901,221,BOTTOM
0,0,201,3,UTILITY
0,1,79,41,TOP
0,1,121,876,JUNGLE
0,1,42,222,MIDDLE
0,1,145,147,BOTTOM
0,1,89,111,UTILITY
0,1,150,126,TOP
0,1,234,63,JUNGLE
0,1,54,42,MIDDLE
0,1,21,119,BOTTOM
0,1,201,526,UTILITY
0,1,24,58,TOP
0,1,63,427,JUNGLE
0,1,777,42,MIDDLE
0,1,81,29,BOTTOM
0,1,89,497,UTILITY
0,0,36,150,TOP
0,0,64,78,JUNGLE
0,0,7,81,MIDDLE
0,0,221,63,BOTTOM
0,0,117,111,UTILITY
0,1,150,897,TOP
0,1,5,63,JUNGLE
0,1,105,42,MIDDLE
0,1,22,81,BOTTOM
0,1,147,89,UTILITY
0,0,62,67,MIDDLE
0,0,76,131,JUNGLE
0,0,18,157,TOP
0,0,145,110,BOTTOM
0,0,111,201,UTILITY
0,0,75,67,TOP
0,0,120,76,JUNGLE
0,0,910,268,MIDDLE
0,0,81,51,BOTTOM
0,0,147,526,UTILITY
0,1,39,41,TOP
0,1,143,5,JUNGLE
0,1,42,69,MIDDLE
0,1,202,221,BOTTOM
0,1,78,497,UTILITY
0,1,84,24,TOP
0,1,120,421,JUNGLE
0,1,7,39,MIDDLE
0,1,222,81,BOTTOM
0,1,201,143,UTILITY
0,1,79,82,TOP
0,1,107,200,JUNGLE
0,1,81,236,BOTTOM
0,1,42,222,MIDDLE
0,1,101,412,UTILITY
0,1,98,8,TOP
0,1,107,78,JUNGLE
0,1,163,42,MIDDLE
0,1,221,96,BOTTOM
0,1,43,22,UTILITY
0,1,8,266,TOP
0,1,64,5,JUNGLE
0,1,18,7,MIDDLE
0,1,115,22,BOTTOM
0,1,111,147,UTILITY
0,0,36,86,TOP
0,0,76,131,JUNGLE
0,0,221,236,MIDDLE
0,0,81,910,BOTTOM
0,0,432,555,UTILITY
0,0,164,67,TOP
0,0,234,64,JUNGLE
0,0,7,85,MIDDLE
0,0,81,145,BOTTOM
0,0,12,111,UTILITY
0,1,85,24,TOP
0,1,63,203,JUNGLE
0,1,42,10,MIDDLE
0,1,81,51,BOTTOM
0,1,497,78,UTILITY
0,0,80,266,TOP
0,0,63,234,JUNGLE
0,0,42,910,MIDDLE
0,0,222,81,BOTTOM
0,0,412,432,UTILITY
0,0,79,27,TOP
0,0,254,64,JUNGLE
0,0,221,58,MIDDLE
0,0,901,429,BOTTOM
0,0,117,7,UTILITY
0,0,41,516,TOP
0,0,163,63,JUNGLE
0,0,236,18,MIDDLE
0,0,81,96,BOTTOM
0,0,43,526,UTILITY
0,1,24,119,TOP
0,1,76,30,JUNGLE
0,1,221,18,MIDDLE
0,1,22,429,BOTTOM
0,1,78,89,UTILITY
0,1,62,98,TOP
0,1,5,163,JUNGLE
0,1,69,18,MIDDLE
0,1,115,119,BOTTOM
0,1,89,147,UTILITY
0,1,8,126,TOP
0,1,9,79,JUNGLE
0,1,266,42,MIDDLE
0,1,22,222,BOTTOM
0,1,111,888,UTILITY
0,1,86,22,TOP
0,1,35,64,JUNGLE
0,1,134,24,MIDDLE
0,1,81,4,BOTTOM
0,1,555,201,UTILITY
0,1,164,85,TOP
0,1,203,200,JUNGLE
0,1,112,81,MIDDLE
0,1,21,221,BOTTOM
0,1,526,40,UTILITY
0,1,114,24,TOP
0,1,77,68,JUNGLE
0,1,236,42,MIDDLE
0,1,21,63,BOTTOM
0,1,526,111,UTILITY
0,0,150,24,TOP
0,0,131,25,JUNGLE
0,0,58,157,MIDDLE
0,0,145,21,BOTTOM
0,0,526,111,UTILITY
0,1,6,24,TOP
0,1,876,203,JUNGLE
0,1,236,7,MIDDLE
0,1,895,145,BOTTOM
0,1,43,53,UTILITY
0,1,164,234,TOP
0,1,63,33,JUNGLE
0,1,777,61,MIDDLE
0,1,22,145,BOTTOM
0,1,89,555,UTILITY
0,1,67,20,TOP
