,0
773,NA1_5038876013
774,NA1_5038844416
775,NA1_5038799375
776,NA1_5038646661
777,NA1_5038618193
778,NA1_5037925921
779,NA1_5037899059
780,NA1_5037864976
781,NA1_5037313625
782,NA1_5036559594
783,NA1_5036536508
784,NA1_5036486759
785,NA1_5036482939
786,NA1_5036042411
787,NA1_5036017575
788,NA1_5036010798
789,NA1_5035984446
790,NA1_5035963786
791,NA1_5035885693
792,NA1_5035887947
793,NA1_5035881087
794,NA1_5032823622
795,NA1_5032812620
796,NA1_5032809167
797,NA1_5032800882
798,NA1_5039118431
799,NA1_5039087882
800,NA1_5038626727
801,NA1_5036968804
802,NA1_5036788259
803,NA1_5036658203
804,NA1_5036642099
805,NA1_5034991055
806,NA1_5034595236
807,NA1_5034583851
808,NA1_5034561500
809,NA1_5034540550
810,NA1_5034480909
811,NA1_5034402992
812,NA1_5034369347
813,NA1_5036771632
814,NA1_5036253023
815,NA1_5035598861
816,NA1_5035136593
817,NA1_5035108631
818,NA1_5035078025
819,NA1_5033891896
820,NA1_5033163490
821,NA1_5033132391
822,NA1_5033113457
823,NA1_5038164278
824,NA1_5038143442
825,NA1_5037954529
826,NA1_5037500716
827,NA1_5035704657
828,NA1_5035640720
829,NA1_5035521540
830,NA1_5035496990
831,NA1_5035248895
832,NA1_5035238826
833,NA1_5034527399
834,NA1_5036399551
835,NA1_5029976548
836,NA1_5029944303
837,NA1_5029918947
838,NA1_5029850781
839,NA1_5027649051
840,NA1_5027606601
841,NA1_5025648131
842,NA1_5025611704
843,NA1_5022347567
844,NA1_5022338890
845,NA1_5022315093
846,NA1_5022277244
847,NA1_5022240913
848,NA1_5020153316
849,NA1_5020132124
850,NA1_5020083679
851,NA1_5038637746
852,NA1_5034233886
853,NA1_5034140961
854,NA1_5033764519
855,NA1_5033300216
856,NA1_5033279780
857,NA1_5033258124
858,NA1_5032691779
859,NA1_5032662491
860,NA1_5032412463
861,NA1_5032100012
862,NA1_5032074223
863,NA1_5030743873
864,NA1_5030713976
865,NA1_5030675609
866,NA1_5030205891
867,NA1_5030174252
868,NA1_5030135273
869,NA1_5030108326
870,NA1_5030068477
871,NA1_5030038876
872,NA1_5039172081
873,NA1_5039132863
874,NA1_5038806640
875,NA1_5038717840
876,NA1_5038530529
877,NA1_5035531177
878,NA1_5035513895
879,NA1_5038290220
880,NA1_5038020020
881,NA1_5035729451
882,NA1_5035641639
883,NA1_5034280383
884,NA1_5034258065
885,NA1_5033977108
886,NA1_5033956944
887,NA1_5033913988
888,NA1_5033889978
889,NA1_5033863501
890,NA1_5033848253
891,NA1_5033823940
892,NA1_5033794860
893,NA1_5033760365
894,NA1_5033708873
895,NA1_5033588029
896,NA1_5033565153
897,NA1_5033399686
898,NA1_5033395272
899,NA1_5033390928
900,NA1_5033381245
901,NA1_5036446765
902,NA1_5036434020
903,NA1_5035593877
904,NA1_5035440494
905,NA1_5035389015
906,NA1_5034154950
907,NA1_5034128466
908,NA1_5033828094
909,NA1_5033798501
910,NA1_5033574631
911,NA1_5033547369
912,NA1_5033507403
913,NA1_5033492251
914,NA1_5033453083
915,NA1_5038119582
916,NA1_5037514372
917,NA1_5035784659
918,NA1_5035189334
919,NA1_5035167608
920,NA1_5035142380
921,NA1_5035116864
922,NA1_5034536379
923,NA1_5034483684
924,NA1_5033194952
925,NA1_5032686203
926,NA1_5032100159
927,NA1_5032052418
928,NA1_5032030168
929,NA1_5036779856
930,NA1_5036711545
931,NA1_5036686333
932,NA1_5036131762
933,NA1_5034961779
934,NA1_5034900854
935,NA1_5034800346
936,NA1_5034771702
937,NA1_5034457088
938,NA1_5038744353
939,NA1_5037877685
940,NA1_5037470041
941,NA1_5037432382
942,NA1_5036044463
943,NA1_5035804944
944,NA1_5035778008
945,NA1_5038647747
946,NA1_5038609116
947,NA1_5037434293
948,NA1_5030957177
949,NA1_5030941630
950,NA1_5030937302
951,NA1_5030925714
952,NA1_5030912408
953,NA1_5030888087
954,NA1_5030866375
955,NA1_5030720359
956,NA1_5030261709
957,NA1_5030242595
958,NA1_5030221607
959,NA1_5030087789
960,NA1_5039016124
961,NA1_5038998011
962,NA1_5038650287
963,NA1_5038612246
964,NA1_5038554043
965,NA1_5038482318
966,NA1_5038145983
967,NA1_5037613539
968,NA1_5037607109
969,NA1_5038085658
970,NA1_5038061704
971,NA1_5038022897
972,NA1_5037510719
973,NA1_5037473722
974,NA1_5037435054
975,NA1_5037401295
976,NA1_5037337427
977,NA1_5037282115
978,NA1_5039096885
979,NA1_5032839231
980,NA1_5032201901
981,NA1_5032190156
982,NA1_5032187819
983,NA1_5032162620
984,NA1_5032161767
985,NA1_5030323886
986,NA1_5027934686
987,NA1_5027920411
988,NA1_5027912838
989,NA1_5027155628
990,NA1_5025388583
991,NA1_5025170676
992,NA1_5025076007
993,NA1_5025052463
994,NA1_5024454700
995,NA1_5024454946
996,NA1_5024442420
997,NA1_5024439859
998,NA1_5024429258
999,NA1_5024423951
1000,NA1_5038318725
1001,NA1_5038303612
1002,NA1_5030162507
1003,NA1_5030097728
1004,NA1_5027158330
1005,NA1_5027153277
1006,NA1_5027142395
1007,NA1_5027086545
1008,NA1_5027065071
1009,NA1_5027053783
1010,NA1_5027012522
1011,NA1_5026964143
1012,NA1_5026927543
1013,NA1_5026909847
1014,NA1_5026882763
1015,NA1_5026853132
1016,NA1_5026820695
1017,NA1_5026810828
1018,NA1_5026785234
1019,NA1_5038886241
1020,NA1_5038693037
1021,NA1_5038242263
1022,NA1_5038228545
1023,NA1_5038191231
1024,NA1_5038163669
1025,NA1_5038150902
1026,NA1_5038126151
1027,NA1_5038058647
1028,NA1_5038039670
1029,NA1_5037607429
1030,NA1_5036618106
1031,NA1_5036040373
1032,NA1_5035946516
1033,NA1_5035817311
1034,NA1_5035798104
1035,NA1_5035758516
1036,NA1_5035677720
1037,NA1_5035652143
1038,NA1_5035620658
1039,NA1_5035563352
1040,NA1_5035538481
1041,NA1_5035529103
1042,NA1_5036088319
1043,NA1_5036047388
1044,NA1_5035659324
1045,NA1_5035369551
1046,NA1_5035353732
1047,NA1_5035349243
1048,NA1_5034729731
1049,NA1_5034719448
1050,NA1_5034288817
1051,NA1_5034267246
1052,NA1_5034231325
1053,NA1_5033099448
